Cell habitat variables for Tailrace site
Official input file, June 2008
CellNumber,FracShelt,DistHide(m),FracSpawn,FracHide
620,0.01,4.00,0.05,0.01
621,0.00,5.00,0.00,0.00
622,0.00,5.00,0.00,0.00
623,0.01,4.00,0.05,0.01
624,0.01,4.00,0.05,0.01
625,0.00,5.00,0.00,0.00
626,0.00,5.00,0.00,0.00
627,0.00,5.00,0.00,0.00
628,0.00,5.00,0.00,0.00
629,0.00,5.00,0.00,0.00
630,0.00,5.00,0.00,0.00
631,0.00,5.00,0.00,0.00
632,0.00,5.00,0.00,0.00
633,0.00,5.00,0.00,0.00
634,0.00,5.00,0.00,0.00
635,0.05,0.80,0.02,0.10
636,0.05,0.80,0.02,0.10
637,0.05,0.80,0.02,0.10
638,0.20,0.50,0.00,0.20
639,0.03,1.50,0.01,0.05
640,0.05,0.80,0.02,0.10
641,0.05,0.80,0.02,0.10
642,0.02,3.75,0.01,0.01
643,0.02,3.75,0.01,0.01
644,0.02,3.75,0.01,0.01
645,0.02,3.75,0.01,0.01
646,0.02,3.75,0.01,0.01
647,0.02,3.75,0.01,0.01
648,0.02,3.75,0.01,0.01
649,0.02,3.75,0.01,0.01
650,0.02,3.75,0.01,0.01
651,0.02,3.75,0.01,0.01
652,0.02,3.75,0.01,0.01
653,0.02,3.75,0.01,0.01
654,0.02,3.75,0.01,0.01
655,0.02,3.75,0.01,0.01
656,0.40,0.30,0.00,0.30
657,0.15,3.00,0.00,0.10
658,0.15,3.00,0.00,0.10
659,0.15,3.00,0.00,0.10
660,0.01,4.00,0.05,0.01
661,0.01,4.00,0.05,0.01
662,0.01,4.00,0.05,0.01
663,0.15,3.00,0.00,0.10
664,0.01,4.00,0.05,0.01
665,0.01,4.00,0.05,0.01
666,0.00,5.00,0.00,0.00
667,0.00,5.00,0.00,0.00
668,0.00,5.00,0.00,0.00
669,0.01,4.00,0.05,0.01
670,0.01,4.00,0.05,0.01
671,0.01,4.00,0.05,0.01
672,0.00,5.00,0.00,0.00
673,0.02,3.75,0.01,0.01
674,0.00,5.00,0.00,0.00
675,0.00,5.00,0.00,0.00
