Hydraulic input for inSTREAM 5,"Tailrace site, Green River",,,,,,,,,,,,,,,,,,,,,,,
Created from 2008-09 inSTREAM-SD-2D code and input,SF Railsback 11/15/2012,,,,,,,,,,,,,,,,,,,,,,,
flows,17,,23,,30,,35,,40,,60,,70,,85,,100,,115,,130,,142,
CellNumber,Depth@17,Vel@17,Depth@23,Vel@23,Depth@30,Vel@30,Depth@35,Vel@35,Depth@40,Vel@40,Depth@60,Vel@60,Depth@70,Vel@70,Depth@85,Vel@85,Depth@100,Vel@100,Depth@115,Vel@115,Depth@130,Vel@130,Depth@142,Vel@142
120,14.1,1.7,14.9,15.9,19.7,22,16.3,47,22.3,51.4,41.4,60.9,51.6,134.3,63.6,153.9,77.3,171,91.1,170.8,100.7,187.8,100.7,187.8
121,14.1,1.7,14.9,15.9,19.7,22,18.8,80.1,27,80.1,51,82.4,57.7,135.1,67.6,159.4,80.3,176.2,97.4,166.5,107,185.1,107,185.1
122,40.5,37.7,42.9,58.9,50.9,72.9,54.8,128.1,63,112,89.3,121.2,96.5,151,106.4,174.5,119.2,188.5,135.6,183.9,145.6,200.8,145.6,200.8
123,51.1,42.6,53.7,75.4,65.7,94.3,63.5,151.3,73.2,138.4,99.6,155.1,108.9,168.6,120.7,183.9,134.4,193.8,147.6,200.2,157.8,213.5,157.8,213.5
124,0,0,0,0,0.1,0,0,0,2.8,12.9,13.1,22.1,20.5,84,28.5,98.2,37.6,111.2,47.7,141.8,56.7,165,56.7,165
125,94.2,89.6,98.2,114.2,107.4,133.7,116.1,143.8,124.1,140,150.3,161.1,158.8,177.2,169.1,201.1,182.1,212.7,197,212.3,207.2,226.4,207.2,226.4
126,90.5,97.9,95,126.2,104.7,144.3,113.1,134.4,120.7,144.8,146.8,173.9,156.2,177.7,166.5,199.3,179.4,210.5,192.7,217.3,203.2,229.6,203.2,229.6
127,34.4,74.2,39.1,94.6,49.1,108.7,57.6,87.4,65,104.1,91.3,137.9,101.3,133.4,110.7,146.1,123.3,157.7,135.5,169,145.9,178.2,145.9,178.2
128,0,0,0.9,2.9,4.4,2.6,9.8,3.7,15.5,8.1,35.5,15.9,41.5,18,49.2,8.3,58.8,8.2,67.2,20,75.3,16.7,75.3,16.7
129,0,0,0,0,0,0,2,0.1,4.2,0.8,11.9,2.6,14.3,2.5,16.7,2.1,20.2,2.6,23,10.2,25.9,9.6,25.9,9.6
130,10.9,16.6,15.6,16.6,26.4,19.9,34.2,12.8,42.3,23.7,71.4,41.8,80.5,45.4,92.1,26.7,106.1,27.4,119.2,37.6,131.1,33.1,131.1,33.1
131,4.2,5.3,6.8,8.2,14,9.4,21.9,6.8,30.4,14.3,60,28,69.4,29.3,80,19,93.9,20.6,106.4,38.9,118.1,35.8,118.1,35.8
